23049236, 1, 1, 0
25359793, 2, 0, 1
25359794, 3, 1, 1
25528575, 4, 1, 0
25539152, 5, 1, 1
25540878, 6, 1, 1
25541125, 7, 1, 1
25722423, 8, 1, 1
26971631, 9, 1, 0
28457294, 10, 1, 1
28458149, 11, 1, 1
30042004, 12, 0, 1
30076590, 13, 1, 1
30970013, 14, 1, 1
30970013, 14, 1, 1
32298432, 15, 1, 1
32306247, 16, 1, 1
32987936, 17, 1, 0
33714868, 18, 0, 1
34538227, 19, 1, 1
37370856, 20, 1, 1
38867890, 22, 1, 1
42348325, 23, 0, 1
42412115, 24, 1, 1
48616848, 25, 1, 0
49432519, 26, 1, 1
58898738, 27, 1, 1
59529673, 28, 1, 1
61650799, 30, 1, 1
62263680, 31, 0, 1
81657994, 32, 1, 1
81888075, 33, 1, 0
82451106, 34, 1, 1
82662462, 35, 1, 1
82745737, 36, 1, 1
82745755, 37, 1, 1
82824769, 38, 0, 1
83052330, 39, 1, 0
83529213, 40, 1, 0
83742802, 41, 1, 1
83947313, 42, 0, 1
84543117, 43, 0, 0
84543118, 44, 0, 0
84543119, 45, 0, 0
84543120, 46, 0, 0
84963233, 47, 0, 1
84963242, 49, 0, 0
84998489, 50, 1, 1
85314413, 51, 1, 1
87367997, 52, 1, 0
88680176, 53, 1, 0
89425698, 54, 1, 1
89436110, 55, 1, 1
89436111, 56, 1, 0
89451596, 57, 0, 1
89582930, 59, 1, 1
89809636, 60, 0, 0
89942637, 61, 1, 1
89985991, 62, 1, 0
90060335, 63, 1, 1
90598650, 64, 0, 1
93077891, 65, 1, 0
93077926, 66, 1, 0
93077937, 67, 0, 1
94365195, 68, 0, 1
94372544, 69, 1, 1
95159087, 70, 1, 1
95812120, 71, 0, 0
95812265, 72, 1, 0
95863557, 73, 1, 1
95975631, 74, 1, 0
95978056, 75, 1, 0
97695311, 77, 1, 1
98282640, 78, 0, 0
98429384, 79, 1, 1
99720896, 80, 1, 1
99725615, 81, 1, 1
99725616, 82, 0, 1
99725617, 83, 1, 1
99725619, 84, 1, 1
99761296, 85, 1, 1
99853173, 86, 1, 1
99858972, 87, 1, 1
99858974, 88, 1, 1
99858975, 89, 1, 1
99858976, 90, 1, 0
99858977, 91, 1, 0
100331235, 92, 1, 0
100331243, 93, 0, 1
100403022, 95, 1, 1
100404261, 97, 0, 1
100404265, 98, 1, 1
100404265, 98, 1, 1
100584351, 99, 1, 0
100585911, 100, 1, 1
100585911, 100, 1, 1
100602289, 101, 1, 0
